sensor1;sensor2;Pertenece
1433;119;C
1158;147;C
1059;195;C
1036;195;C
1232;143;C
1485;114;C
1746;105;C
1983;91;C
2397;82;C
2589;79;C
2853;79;C
3136;79;C
3375;83;C
3678;87;C
4016;90;C
3943;87;C
3672;97;C
3393;87;C
3111;79;C
2832;79;C
2634;78;C
2428;83;C
1987;91;C
1749;103;C
1433;119;C
1158;147;C
5834;195;C
1074;196;C
1172;144;C
1373;127;C
1742;99;C
2049;90;C
2310;86;C
2578;80;C
2875;78;C
3185;84;C
3400;82;C
3626;82;C
3978;86;C
3877;90;C
3724;82;C
3444;79;C
3121;79;C
2805;78;C
2536;78;C
2278;83;C
1993;95;C
1715;103;C
1443;127;C
758;192;C
828;178;C
212;624;CX
479;326;CX
865;214;CX
1074;152;CX
1335;118;CX
1625;99;CX
1997;91;CX
2209;86;CX
2476;83;CX
2782;79;CX
3102;82;CX
3325;80;CX
3276;83;CX
3040;79;CX
2796;80;CX
2511;79;CX
2250;79;CX
1951;88;CX
1662;99;CX
1352;115;CX
1095;145;CX
897;196;CX
511;297;CX
245;590;CX
215;609;CX
510;299;CX
865;197;CX
1036;164;CX
1314;116;CX
1645;100;CX
2034;87;CX
2187;84;CX
2486;79;CX
2741;78;CX
3121;79;CX
3288;83;CX
3271;86;CX
3069;79;CX
2836;79;CX
2508;80;CX
2212;80;CX
1938;87;CX
1687;99;CX
1373;117;CX
1061;145;CX
789;192;CX
605;293;CX
267;553;CX
249;592;CX
663;249;P 
367;428;P
347;459;P
650;255;P
928;188;P
1251;156;P
1505;127;P
1739;120;P
2174;131;P
2379;107;P
2750;135;P
2923;115;P
3170;88;P
3493;50;P
3510;38;P
3177;66;P
2904;107;P
2620;90;P
2311;75;P
2053;82;P
1774;107;P
1486;123;P
1217;135;P
925;180;P
622;254;P
337;449;P
350;443;P
615;255;P
918;183;P
1255;156;P
1530;131;P
1851;130;P
2070;111;P
2353;104;P
2699;124;P
2979;127;P
3264;119;P
3685;155;P
3543;130;P
3232;119;P
2982;136;P
2658;102;P
2341;105;P
2156;115;P
1881;131;P
1565;135;P
1241;147;P
921;181;P
619;248;P
339;470;P
